time,ethusdt,btcusdt
1681117317.8713548,1857.01,28288.99
1681117318.9277525,1857.02,28288.98
1681117320.978277,1857.02,28288.98
1681117323.020266,1857.02,28288.99
1681117323.9898624,1857.28,28288.99
1681117325.0768948,1857.28,28288.99
1681117326.608502,1857.29,28288.9
1681117327.7399828,1857.29,28288.9
1681117328.7595928,1857.29,28288.89
1681117329.7854033,1857.29,28288.9
1681117330.806954,1857.28,28288.9
1681117331.82582,1857.28,28288.9
1681117333.3696456,1857.3,28288.9
1681117334.3889718,1857.3,28288.9
1681117335.4150918,1857.3,28288.9
1681117336.5394132,1857.3,28288.9
1681117338.1749117,1857.44,28288.9
1681117339.3102071,1857.49,28288.89
1681117340.3320637,1857.49,28288.89
1681117341.3524718,1857.5,28288.9
1681117342.379054,1857.5,28288.89
1681117343.3971725,1857.5,28288.9
1681117344.3599026,1857.49,28288.9
1681117345.3545983,1857.55,28288.0
1681117346.3552847,1857.54,28288.01
1681117347.4059522,1857.56,28288.01
1681117348.9306147,1857.56,28287.83
1681117350.466849,1857.56,28287.84
1681117351.4907305,1857.61,28287.84
1681117352.5133398,1857.75,28287.84
1681117354.1406672,1857.75,28287.84
1681117356.3144078,1857.75,28287.82
1681117357.3318157,1857.75,28287.82
1681117358.3518589,1857.74,28287.83
1681117359.3775067,1857.75,28287.83
1681117360.3965738,1857.75,28287.82
1681117361.420101,1857.75,28287.82
1681117362.445133,1857.75,28287.82
1681117363.47636,1857.78,28287.83
1681117364.902839,1857.94,28287.83
1681117365.8242,1857.94,28287.83
1681117367.3587494,1857.94,28287.83
1681117368.3892694,1857.94,28287.83
1681117369.4084618,1857.94,28287.83
1681117370.44625,1857.94,28287.83
1681117371.4616718,1857.94,28287.82
1681117372.4799283,1857.94,28287.83
1681117373.5030987,1857.95,28287.82
1681117374.5283265,1857.95,28287.83
1681117375.5563283,1857.95,28287.83
1681117376.577049,1857.95,28287.83
1681117377.6017904,1857.94,28287.83
1681117378.6256742,1857.95,28287.83
1681117379.6467953,1857.94,28287.82
1681117381.117073,1857.94,28287.83
1681117382.6242952,1857.95,28287.83
1681117383.6453276,1857.94,28287.83
1681117385.177862,1857.94,28287.82
1681117386.2079577,1857.95,28287.82
1681117387.3395162,1857.95,28287.82
1681117388.4622364,1857.95,28287.83
1681117389.4776666,1857.95,28287.83
1681117390.5028222,1857.95,28287.83
1681117392.0383303,1857.94,28287.82
1681117393.0642774,1857.95,28287.82
1681117394.093157,1857.95,28287.83
1681117395.109519,1857.95,28287.82
1681117396.079234,1857.95,28287.82
1681117397.1579125,1857.95,28287.83
1681117398.1814833,1857.95,28287.82
1681117399.2098558,1857.95,28287.82
1681117400.2305062,1857.95,28287.83
1681117401.2534006,1857.95,28287.83
1681117402.2018168,1857.95,28287.82
1681117403.3039718,1857.95,28287.82
1681117404.2620854,1857.94,28287.82
1681117405.3572938,1857.94,28287.82
1681117406.3082373,1857.94,28287.82
1681117407.5005436,1857.95,28287.83
1681117409.0417078,1857.95,28287.83
1681117410.1686778,1857.94,28287.83
1681117411.7013206,1857.94,28287.82
1681117412.723536,1857.95,28287.82
1681117414.258631,1857.94,28287.83
1681117415.2818139,1857.95,28287.83
1681117416.3124406,1857.95,28287.82
1681117417.5435681,1857.94,28287.82
1681117418.5602667,1857.94,28287.82
1681117419.5834348,1857.94,28287.83
1681117420.6084623,1858.1,28287.81
1681117421.7377532,1858.1,28287.81
1681117422.7611747,1858.1,28287.82
1681117423.786092,1858.1,28287.82
1681117424.8049972,1858.1,28287.82
1681117425.8337927,1858.1,28287.81
1681117426.8542354,1858.11,28287.81
1681117427.8819637,1858.1,28286.94
1681117429.6267407,1858.11,28286.74
1681117430.6822135,1858.11,28286.74
1681117432.2823021,1858.1,28286.74
1681117433.3092773,1858.11,28286.74
1681117434.2883196,1858.11,28286.74
1681117435.358112,1858.11,28286.74
1681117436.3822474,1858.11,28286.73
1681117437.3451295,1858.11,28286.74
1681117438.3231618,1858.1,28286.74
1681117439.3521664,1858.1,28286.74
1681117440.3783796,1858.1,28286.73
1681117441.3966067,1858.11,28286.34
1681117443.4186783,1858.09,28285.72
1681117444.3650591,1858.09,28285.72
1681117445.8665853,1858.04,28285.72
1681117446.9314744,1858.05,28285.71
1681117447.9508028,1858.05,28285.71
1681117448.9797583,1858.05,28285.71
1681117450.6139412,1858.05,28285.4
1681117451.6339772,1858.04,28283.87
1681117452.6666424,1858.04,28283.87
1681117453.6871247,1858.04,28283.87
1681117454.7066975,1858.04,28283.86
1681117455.7352972,1858.05,28283.87
1681117456.7547984,1858.05,28283.86
1681117457.7789004,1858.04,28283.86
1681117459.324223,1858.04,28283.87
1681117460.273662,1858.04,28283.86
1681117461.3781955,1858.04,28283.86
1681117462.9001818,1858.04,28283.86
1681117463.869786,1858.04,28283.86
1681117464.8451345,1858.04,28283.86
1681117465.8679698,1858.04,28283.86
1681117466.8971324,1858.05,28283.87
1681117468.0306954,1858.05,28283.77
1681117469.0460553,1858.05,28283.77
1681117470.1769798,1858.05,28283.76
1681117471.1958039,1858.05,28283.6
1681117472.2220404,1858.04,28283.59
1681117473.1827679,1858.04,28283.6
1681117474.2652943,1858.04,28283.6
1681117475.8034778,1858.05,28283.59
1681117477.3405573,1858.05,28283.6
1681117478.4666672,1858.04,28283.18
1681117479.496687,1858.04,28283.18
1681117480.521459,1858.05,28283.18
